area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,is_luxury
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1143.0,2.0,2.0,38.65,2,3381.4523184601926,False
Super built-up  Area,22-May,Jakkur,4 BHK,3467.86,6.0,3.0,249.0,4,7180.220654813054,True
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530.0,2.0,2.0,74.4,3,4862.745098039216,False
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2.0,2.0,69.0,2,7040.816326530612,False
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1485.0,3.0,2.0,65.0,3,4377.104377104377,False
Plot  Area,18-May,Whitefield,3 Bedroom,1500.0,3.0,1.0,130.0,3,8666.666666666666,False
Super built-up  Area,18-Oct,Whitefield,2 BHK,1280.0,2.0,1.0,75.0,2,5859.375,False
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1265.0,2.0,2.0,85.0,2,6719.367588932806,False
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,1132.0,2.0,1.0,67.0,2,5918.727915194347,False
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,1262.0,2.0,2.0,63.0,2,4992.076069730587,False
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,940.0,2.0,1.0,49.0,2,5212.765957446809,False
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,1515.0,3.0,3.0,88.0,3,5808.580858085808,False
Super built-up  Area,Ready To Move,Jigani,3 BHK,1300.0,3.0,3.0,150.0,3,11538.461538461539,False
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,1840.0,3.0,1.0,69.0,3,3750.0,False
Built-up  Area,Ready To Move,Electronic City,2 BHK,890.0,2.0,2.0,45.0,2,5056.179775280899,False
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,1655.0,3.0,2.0,86.06,3,5200.0,False
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2060.0,3.0,1.0,149.0,3,7233.0097087378645,False
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,1730.0,3.0,1.0,96.0,3,5549.132947976878,False
Built-up  Area,Ready To Move,Yelahanka,3 BHK,2195.0,4.0,2.0,127.0,3,5785.876993166287,False
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,1650.0,3.0,2.0,125.0,3,7575.757575757576,False
Plot  Area,Ready To Move,KR Puram,2 Bedroom,1200.0,2.0,0.0,71.0,2,5916.666666666667,False
Super built-up  Area,18-May,Hosa Road,2 BHK,1079.0,2.0,1.0,32.37,2,2999.9999999999995,False
Super built-up  Area,19-Oct,Panathur,2 BHK,1085.0,2.0,1.0,36.0,2,3317.9723502304146,False
Built-up  Area,Ready To Move,Maruthi Sevanagar,7 Bedroom,5000.0,7.0,2.0,299.0,7,5980.0,True
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1075.0,2.0,1.0,51.5,2,4790.697674418605,False
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,1380.0,2.0,1.0,80.0,2,5797.101449275362,False
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,1450.0,3.0,1.0,65.0,3,4482.758620689655,False
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,1200.0,2.0,2.0,78.0,2,6500.0,False
Super built-up  Area,Ready To Move,Benson Town,3 BHK,3200.0,4.0,2.0,350.0,3,10937.5,False
Super built-up  Area,21-Jul,Hoodi,3 BHK,1639.0,3.0,1.0,98.32,3,5998.779743746187,False
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1200.0,2.0,1.0,54.0,2,4500.0,False
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1739.0,3.0,1.0,116.0,3,6670.500287521564,False
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,4346.0,5.0,2.0,500.0,4,11504.83202945237,True
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,935.0,2.0,1.0,32.72,2,3499.4652406417113,False
Super built-up  Area,21-Nov, Thanisandra,1 RK,510.0,1.0,1.0,25.25,1,4950.980392156863,False
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,1200.0,6.0,3.0,180.0,6,15000.0,False
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1178.0,2.0,3.0,47.0,2,3989.8132427843802,False
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1375.0,2.0,1.0,50.0,3,3636.3636363636365,False
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1065.0,2.0,1.0,33.0,3,3098.5915492957747,False
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,1.0,50.75,3,3500.0,False
Built-up  Area,Ready To Move,BEML Layout,2 BHK,999.0,2.0,3.0,45.0,2,4504.504504504504,False
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,4400.0,3.0,2.0,475.0,2,10795.454545454546,False
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,1350.0,4.0,1.0,135.0,5,10000.0,False
Built-up  Area,Ready To Move,Kothannur,2 BHK,1100.0,2.0,2.0,40.0,2,3636.3636363636365,False
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1835.0,2.0,3.0,155.0,3,8446.866485013625,False
Super built-up  Area,20-Dec,Hoodi,4 BHK,2090.0,4.0,0.0,95.1,4,4550.239234449761,True
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1519.0,3.0,1.0,93.0,3,6122.448979591837,False
Built-up  Area,Ready To Move,Dommasandra,3 BHK,1267.0,3.0,2.0,56.0,3,4419.889502762431,False
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1150.0,2.0,3.0,72.2,2,6278.260869565217,False
Super built-up  Area,19-Dec,Marathahalli,2 BHK,1146.0,2.0,1.0,70.0,2,6108.202443280978,False
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,1200.0,7.0,0.0,235.0,8,19583.333333333332,False
Built-up  Area,Ready To Move,Kannamangala,3 BHK,1550.0,3.0,3.0,65.0,3,4193.548387096775,False
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,2200.0,3.0,2.0,187.0,3,8500.0,False
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,3329.0,3.0,2.0,330.0,3,9912.886752778611,False
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,785.0,1.0,1.0,55.0,1,7006.369426751592,False
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,2900.0,4.0,2.0,300.0,3,10344.827586206897,False
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1610.0,3.0,2.0,74.0,3,4596.273291925466,False
Super built-up  Area,Ready To Move,Bellandur,2 BHK,921.0,2.0,2.0,40.0,2,4343.105320304017,False
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,850.0,3.0,2.0,95.0,3,11176.470588235294,False
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,2700.0,5.0,0.0,158.0,5,5851.851851851852,True
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700.0,3.0,3.0,110.0,3,6470.588235294118,False
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1020.0,2.0,2.0,35.0,2,3431.372549019608,False
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1090.0,2.0,3.0,52.0,2,4770.642201834862,False
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,3600.0,4.0,2.0,300.0,4,8333.333333333334,True
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185.0,2.0,2.0,42.1,2,3552.7426160337554,False
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,850.0,2.0,1.0,25.0,2,2941.176470588235,False
Built-up  Area,Ready To Move,Harlur,2 BHK,1197.0,2.0,1.0,84.0,2,7017.543859649123,False
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,3500.0,3.0,3.0,450.0,4,12857.142857142857,True
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,920.0,2.0,2.0,39.55,2,4298.91304347826,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1105.0,2.0,1.0,65.0,2,5882.35294117647,False
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1850.0,3.0,3.0,100.0,3,5405.405405405405,False
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,1300.0,3.0,1.0,64.0,3,4923.076923076923,False
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,1595.0,3.0,2.0,76.0,3,4764.8902821316615,False
Super built-up  Area,19-Dec,Kodihalli,4 BHK,3073.0,5.0,2.0,696.0,4,22648.87731858119,True
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,755.0,2.0,1.0,37.49,2,4965.562913907284,False
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,4050.0,5.0,2.0,140.0,5,3456.7901234567903,True
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1300.0,2.0,3.0,69.0,3,5307.692307692308,False
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1215.0,2.0,0.0,50.0,2,4115.22633744856,False
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,5111.111111111111,False
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,1145.0,2.0,3.0,58.4,2,5100.436681222707,False
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,1093.0,2.0,2.0,65.0,2,5946.935041171088,False
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,1213.0,2.0,2.0,41.39,3,3412.201154163232,False
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1654.0,3.0,2.0,100.0,3,6045.949214026602,False
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1105.0,2.0,1.0,52.48,2,4749.321266968326,False
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1611.0,2.0,2.0,66.0,3,4096.83426443203,False
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,1367.0,2.0,2.0,62.0,2,4535.479151426482,False
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1010.0,2.0,1.0,51.0,2,5049.504950495049,False
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,750.0,2.0,1.0,75.0,3,10000.0,False
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,1535.0,3.0,1.0,95.0,3,6188.9250814332245,False
Super built-up  Area,Ready To Move,Anekal,2 BHK,620.0,2.0,1.0,22.0,2,3548.3870967741937,False
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,982.0,2.0,1.0,47.65,2,4852.34215885947,False
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1700.0,2.0,2.0,150.0,2,8823.529411764706,False
Super built-up  Area,18-Dec,Whitefield,2 BHK,1330.0,2.0,1.0,71.0,2,5338.345864661655,False
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,2500.0,3.0,2.0,135.0,3,5400.0,False
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,58.99,3,3999.322033898305,False
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1410.0,3.0,1.0,65.0,3,4609.929078014185,False
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,440.0,1.0,1.0,16.5,1,3750.0,False
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1614.0,3.0,2.0,95.0,3,5885.9975216852545,False
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,1363.0,2.0,2.0,68.0,2,4988.994864269993,False
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,650.0,2.0,0.0,28.0,2,4307.692307692308,False
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,1015.0,2.0,1.0,45.0,2,4433.4975369458125,False
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1156.0,2.0,2.0,46.0,2,3979.2387543252594,False
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,1100.0,2.0,1.0,62.7,2,5700.0,False
Super built-up  Area,18-Jan,KR Puram,3 BHK,1455.0,3.0,2.0,46.0,3,3161.512027491409,False
Super built-up  Area,Ready To Move,GB Palya,2 BHK,930.0,2.0,1.0,45.0,2,4838.709677419355,False
Built-up  Area,Ready To Move,AMS Layout,3 BHK,1650.0,2.0,2.0,80.0,3,4848.484848484848,False
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,1200.0,2.0,0.0,90.0,2,7500.0,False
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,700.0,1.0,0.0,150.0,1,21428.571428571428,False
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,2900.0,3.0,2.0,135.0,4,4655.172413793103,True
Super built-up  Area,18-Mar,Kadugodi,3 BHK,1890.0,4.0,3.0,127.0,3,6719.576719576719,False
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2197.0,4.0,3.0,280.0,3,12744.651797906236,False
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3522.0,3.0,2.0,380.0,3,10789.324247586599,False
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,1240.0,2.0,2.0,46.0,3,3709.6774193548385,False
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,1440.0,2.0,2.0,98.0,2,6805.555555555556,False
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,650.0,1.0,2.0,38.0,1,5846.153846153846,False
Super built-up  Area,19-Jun,Budigere,1 BHK,764.0,1.0,1.0,32.0,1,4188.48167539267,False
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,900.0,4.0,0.0,90.0,5,10000.0,False
Built-up  Area,Ready To Move,Hoodi,3 BHK,1445.0,3.0,2.0,65.0,3,4498.269896193771,False
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900.0,1.0,0.0,45.0,2,5000.0,False
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1030.0,2.0,2.0,55.0,2,5339.805825242718,False
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1381.0,2.0,2.0,52.48,3,3800.1448225923245,False
Built-up  Area,Ready To Move,Basapura,2 BHK,1100.0,2.0,1.0,60.0,2,5454.545454545455,False
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1575.0,3.0,2.0,66.39,3,4215.238095238095,False
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,1200.0,2.0,1.0,65.0,2,5416.666666666667,False
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,43.2,2,3600.0,False
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1080.0,2.0,2.0,80.0,2,7407.407407407408,False
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,2280.0,5.0,2.0,200.0,5,8771.929824561403,True
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,1360.0,2.0,2.0,85.0,3,6250.0,False
Super built-up  Area,19-Dec,Jakkur,3 BHK,1865.0,3.0,1.0,124.0,3,6648.793565683646,False
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,1157.0,2.0,1.0,75.0,3,6482.281763180639,False
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674.0,2.0,1.0,29.0,2,4302.670623145401,False
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1405.0,2.0,1.0,78.0,3,5551.601423487545,False
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160.0,2.0,2.0,44.08,2,3800.0,False
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,1600.0,3.0,1.0,172.0,4,10750.0,False
Super built-up  Area,21-Mar,Hebbal,3 BHK,1790.0,3.0,2.0,127.0,3,7094.972067039106,False
Super built-up  Area,18-May,Electronic City,2 BHK,1128.0,2.0,1.0,65.65,2,5820.035460992909,False
Super built-up  Area,Ready To Move,Panathur,2 BHK,1180.0,2.0,1.0,70.0,2,5932.203389830508,False
Built-up  Area,Ready To Move,AGS Layout,3 BHK,1450.0,2.0,2.0,85.0,3,5862.068965517241,False
Built-up  Area,18-Mar,Kengeri,1 BHK,340.0,1.0,1.0,10.0,1,2941.176470588235,False
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,2000.0,3.0,1.0,166.0,4,8300.0,False
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,53.5,2,5095.238095238095,False
Super built-up  Area,Ready To Move,Varthur,2 BHK,1125.0,2.0,2.0,40.0,2,3555.5555555555557,False
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246.0,2.0,1.0,68.0,2,5457.463884430176,False
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372.0,2.0,1.0,61.0,2,4446.064139941691,False
Super built-up  Area,19-Dec,Binny Pete,3 BHK,2465.0,5.0,2.0,234.0,3,9492.90060851927,False
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1300.0,2.0,3.0,55.0,2,4230.7692307692305,False
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,1420.0,1.0,0.0,220.0,2,15492.957746478873,False
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,810.0,4.0,1.0,50.0,4,6172.83950617284,False
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1065.0,2.0,1.0,35.0,2,3286.3849765258215,False
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,700.0,2.0,0.0,27.0,2,3857.1428571428573,False
Carpet  Area,18-Mar,Hebbal,2 BHK,687.325,2.0,0.0,42.72,2,6215.40028370858,False
Super built-up  Area,Ready To Move,Belathur,2 BHK,1050.0,2.0,1.0,45.0,2,4285.714285714285,False
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,1250.0,3.0,3.0,39.5,3,3160.0,False
Built-up  Area,Ready To Move,Electronic City,2 BHK,865.0,2.0,0.0,42.0,2,4855.491329479769,False
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1200.0,2.0,2.0,44.0,2,3666.6666666666665,False
Built-up  Area,Ready To Move,Srirampura,3 BHK,1756.0,3.0,3.0,100.0,3,5694.760820045558,False
Plot  Area,Ready To Move,Malleshwaram,9 Bedroom,750.0,8.0,2.0,150.0,9,20000.0,False
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,628.0,1.0,1.0,24.0,1,3821.6560509554142,False
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,1200.0,6.0,2.0,195.0,7,16250.0,False
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207.0,2.0,2.0,63.0,2,5219.552609776305,False
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1765.0,3.0,1.0,125.0,3,7082.152974504249,False
Built-up  Area,18-Dec,Electronic City,2 BHK,1130.0,2.0,1.0,32.64,2,2888.495575221239,False
Super built-up  Area,18-Jun,Devanahalli Road,3 BHK,1532.0,3.0,3.0,92.0,3,6005.221932114882,False
Built-up  Area,Ready To Move,Ejipura,3 BHK,1650.0,3.0,0.0,110.0,3,6666.666666666667,False
Built-up  Area,18-May,Horamavu Banaswadi,4 Bedroom,1200.0,4.0,2.0,105.0,4,8750.0,False
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,804.1,2.0,1.0,69.09,2,8592.214898644446,False
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,1200.0,2.0,2.0,75.0,2,6250.0,False
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1197.0,2.0,2.0,50.0,2,4177.109440267335,False
Built-up  Area,Ready To Move,Green Woods Layout,2 BHK,1200.0,2.0,2.0,66.0,2,5500.0,False
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1385.0,2.0,2.0,48.48,3,3500.361010830325,False
Super built-up  Area,Ready To Move,Craig Park Layout,2 BHK,1010.0,2.0,3.0,148.0,2,14653.465346534653,False
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225.0,3.0,3.0,115.0,3,5168.539325842697,False
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,1180.0,2.0,2.0,48.0,2,4067.7966101694915,False
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,1525.0,2.0,3.0,122.0,3,8000.0,False
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,1100.0,2.0,2.0,31.5,2,2863.6363636363635,False
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,1435.0,3.0,3.0,70.0,3,4878.048780487805,False
Built-up  Area,Ready To Move,Attibele,1 BHK,400.0,1.0,1.0,14.0,1,3500.0,False
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667,False
Super built-up  Area,21-Mar,Whitefield,2 BHK,1272.0,2.0,1.0,95.05,2,7472.4842767295595,False
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205.0,2.0,1.0,39.0,2,3236.514522821577,False
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,980.0,2.0,1.0,40.0,2,4081.6326530612246,False
Super built-up  Area,18-May,Malleshpalya,2 BHK,1225.0,2.0,2.0,46.86,2,3825.3061224489797,False
Built-up  Area,Ready To Move,Whitefield,3 BHK,1541.0,3.0,1.0,72.0,3,4672.290720311486,False
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1610.0,2.0,2.0,111.0,3,6894.409937888198,False
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1694.0,2.0,2.0,125.0,2,7378.984651711924,False
Plot  Area,Ready To Move,Jnanabharathi Layout,3 Bedroom,600.0,3.0,2.0,75.0,3,12500.0,False
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950.0,2.0,1.0,39.0,2,4105.263157894737,False
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,1560.0,2.0,3.0,66.0,3,4230.7692307692305,False
Plot  Area,Ready To Move,Chandapura,2 Bedroom,1500.0,2.0,1.0,60.0,2,4000.0,False
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,1785.0,3.0,2.0,75.0,3,4201.680672268908,False
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1258.0,2.0,1.0,63.53,2,5050.079491255962,False
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2.0,2.0,42.0,2,4615.384615384615,False
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1297.0,2.0,2.0,112.0,2,8635.312259059368,False
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1291.0,2.0,3.0,49.0,2,3795.5073586367157,False
Built-up  Area,Ready To Move,Chikkasandra,2 BHK,1070.0,2.0,2.0,42.0,2,3925.233644859813,False
Super built-up  Area,Ready To Move,Varthur,2 BHK,1012.0,2.0,1.0,66.5,2,6571.146245059289,False
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1260.0,2.0,3.0,57.6,2,4571.428571428572,False
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1282.0,2.0,2.0,72.0,2,5616.224648985959,False
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,92.15,3,5000.0,False
Plot  Area,Ready To Move,Bharath Housing Society Layout,4 Bedroom,2400.0,3.0,2.0,200.0,4,8333.333333333334,True
Built-up  Area,Ready To Move,Chikka Tirupathi,5 Bedroom,3356.0,5.0,2.0,105.0,5,3128.7246722288437,True
Super built-up  Area,19-Mar,Hebbal,4 BHK,2790.0,5.0,3.0,198.0,4,7096.774193548387,True
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330.0,2.0,1.0,86.98,2,6539.849624060151,False
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,1400.0,2.0,1.0,73.0,3,5214.285714285715,False
Built-up  Area,18-Dec,Whitefield,2 BHK,1192.0,2.0,1.0,71.0,2,5956.375838926175,False
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,1000.0,2.0,1.0,130.0,2,13000.0,False
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1297.0,2.0,2.0,103.0,2,7941.403238242097,False
Super built-up  Area,19-Jul,Sarjapur  Road,1 BHK,615.0,1.0,0.0,17.835,1,2900.0,False
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1490.0,3.0,2.0,100.0,3,6711.4093959731545,False
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1373.0,3.0,2.0,72.0,3,5243.991260014566,False
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,41.39,2,3999.0338164251207,False
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,3750.0,4.0,0.0,210.0,4,5600.0,True
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010.0,2.0,1.0,40.39,2,3999.009900990099,False
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1195.0,2.0,1.0,42.0,2,3514.644351464435,False
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1750.0,3.0,2.0,95.0,3,5428.571428571428,False
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,1052.0,2.0,2.0,50.0,2,4752.851711026616,False
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1180.0,2.0,2.0,58.0,2,4915.254237288135,False
Built-up  Area,Ready To Move,Padmanabhanagar,5 Bedroom,3680.0,4.0,2.0,440.0,5,11956.521739130434,True
Built-up  Area,Ready To Move,Hormavu,3 BHK,2100.0,3.0,2.0,73.0,3,3476.190476190476,False
Built-up  Area,18-Mar,Hoodi,4 Bedroom,2863.0,4.0,1.0,140.0,4,4889.97555012225,True
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,2.0,38.24,2,3390.0709219858154,False
Built-up  Area,Ready To Move,Ulsoor,3 BHK,2700.0,3.0,1.0,450.0,3,16666.666666666668,False
Super built-up  Area,18-Jul,JP Nagar,2 BHK,1120.0,2.0,2.0,33.6,2,3000.0,False
Built-up  Area,Ready To Move,HSR Layout,3 BHK,2424.0,3.0,2.0,90.0,3,3712.871287128713,False
Built-up  Area,Ready To Move,Manjunatha Layout,2 BHK,1300.0,2.0,1.0,60.0,2,4615.384615384615,False
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1090.0,2.0,2.0,32.69,2,2999.0825688073396,False
Built-up  Area,Ready To Move,Yelahanka,3 Bedroom,2710.0,3.0,1.0,251.0,3,9261.992619926199,False
Plot  Area,Ready To Move,Konanakunte Cross,2 Bedroom,3040.0,1.0,1.0,180.0,2,5921.0526315789475,False
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330.0,2.0,2.0,46.55,3,3500.0,False
Super built-up  Area,18-Jul,Hosur Road,3 BHK,1427.0,2.0,1.0,80.63,3,5650.31534688157,False
Super built-up  Area,18-Aug,Banjara Layout,3 BHK,1294.0,2.0,2.0,48.0,3,3709.4281298299848,False
Built-up  Area,Ready To Move,Begur,3 BHK,1580.0,3.0,2.0,75.0,3,4746.835443037975,False
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,1808.0,4.0,2.0,80.27,3,4439.712389380531,False
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3516.0,4.0,3.0,540.0,4,15358.361774744028,True
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194.0,2.0,2.0,47.0,2,3936.348408710218,False
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,5111.111111111111,False
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,1310.0,2.0,3.0,50.0,3,3816.793893129771,False
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,5111.111111111111,False
